Bulan,SUM of Pertumbuhan PDB,5.281363636363636,,,,,Q2-2025,,,SUM of Pertumbuhan PDB,Tahun,,,,
Fri Sep 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),4.42,5.281363636363636,,,,,4.42,,,Bulan,2003,2008,2013,2018,2023
Fri Dec 01 2000 00:00:00 GMT+0700 (Western Indonesia Time),5.72,5.281363636363636,,,,,5.72,,,3,4.91,6.22,5.54,5.07,5.03
Thu Mar 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),3.87,5.281363636363636,,,,,3.87,,,6,5.03,6.3,5.59,5.27,5.17
Fri Jun 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),5.77,5.281363636363636,,,,,5.77,,,9,4.56,6.25,5.52,5.17,4.94
Sat Sep 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),3.44,5.281363636363636,,,,,3.44,,,12,4.63,5.28,5.58,5.18,5.04
Sat Dec 01 2001 00:00:00 GMT+0700 (Western Indonesia Time),1.56,5.281363636363636,,,,,1.56,,,,,,,,
Fri Mar 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),3.52,5.281363636363636,,,,,3.52,,,,,,,,
Sat Jun 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),4.21,5.281363636363636,,,,,4.21,,,,,,,,
Sun Sep 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),5.55,5.281363636363636,,,,,5.55,,,,,,,,
Sun Dec 01 2002 00:00:00 GMT+0700 (Western Indonesia Time),4.68,5.281363636363636,,,,,4.68,,,,,,,,
Sat Mar 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),4.91,5.281363636363636,,,,,4.91,,,,,,,,
Sun Jun 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),5.03,5.281363636363636,,,,,5.03,,,,,,,,
Mon Sep 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),4.56,5.281363636363636,,,,,4.56,,,,,,,,
Mon Dec 01 2003 00:00:00 GMT+0700 (Western Indonesia Time),4.63,5.281363636363636,,,,,4.63,,,,,,,,
Mon Mar 01 2004 00:00:00 GMT+0700 (Western Indonesia Time),4.1,5.281363636363636,,,,,4.1,,,,,,,,
Tue Jun 01 2004 00:00:00 GMT+0700 (Western Indonesia Time),4.39,5.281363636363636,,,,,4.39,,,,,,,,
Wed Sep 01 2004 00:00:00 GMT+0700 (Western Indonesia Time),4.5,5.281363636363636,,,,,4.5,,,,,,,,
Wed Dec 01 2004 00:00:00 GMT+0700 (Western Indonesia Time),7.16,5.281363636363636,,,,,7.16,,,,,,,,
Tue Mar 01 2005 00:00:00 GMT+0700 (Western Indonesia Time),5.96,5.281363636363636,,,,,5.96,,,,,,,,
Wed Jun 01 2005 00:00:00 GMT+0700 (Western Indonesia Time),5.87,5.281363636363636,,,,,5.87,,,,,,,,
Thu Sep 01 2005 00:00:00 GMT+0700 (Western Indonesia Time),5.84,5.281363636363636,,,,,5.84,,,,,,,,
Thu Dec 01 2005 00:00:00 GMT+0700 (Western Indonesia Time),5.11,5.281363636363636,,,,,5.11,,,,,,,,
